i,j,value
-15,24,0.00205647
-15,25,0.00163147
-15,26,0.00126275
-15,27,0.000939222
-15,28,0.000649819
-15,29,0.00038351
-15,30,0.000129358
-15,31,0
-14,-31,0
-14,-30,0.00019839
-14,-29,0.000356569
-14,-28,0.000547932
-14,-27,0.000785167
-14,-26,0.00108184
-14,-25,0.00145233
-14,-24,0.00191156
-14,-23,0.00247467
-14,-22,0.00315636
-14,-21,0.00397027
-14,-20,0.00492807
-14,-19,0.00603854
-14,-18,0.00730667
-14,-17,0.00873268
-14,-16,0.0103112
-14,-15,0.0120309
-14,-14,0.0138736
-14,-13,0.0158149
-14,-12,0.0178239
-14,-11,0.0198644
-14,-10,0.0218955
-14,-9,0.0238733
-14,-8,0.0257523
-14,-7,0.0274875
-14,-6,0.0290358
-14,-5,0.0303583
-14,-4,0.0314216
-14,-3,0.0321995
-14,-2,0.0326738
-14,-1,0.0328352
-14,0,0.0326833
-14,1,0.0322266
-14,2,0.031482
-14,3,0.0304734
-14,4,0.0292312
-14,5,0.02779
-14,6,0.0261877
-14,7,0.0244638
-14,8,0.0226577
-14,9,0.0208075
-14,10,0.0189489
-14,11,0.017114
-14,12,0.0153308
-14,13,0.0136229
-14,14,0.0120089
-14,15,0.0105026
-14,16,0.00911349
-14,17,0.00784666
-14,18,0.00670346
-14,19,0.00568199
-14,20,0.00477765
-14,21,0.00398361
-14,22,0.00329139
-14,23,0.00269126
-14,24,0.00217262
-14,25,0.00172435
-14,26,0.00133501
-14,27,0.000993043
-14,28,0.00068687
-14,29,0.000404983
-14,30,0.000135974
-14,31,0
-13,-31,0
-13,-30,0.000216797
-13,-29,0.000388519
-13,-28,0.000595475
-13,-27,0.00085106
-13,-26,0.00116951
-13,-25,0.00156583
-13,-24,0.00205549
-13,-23,0.00265407
-13,-22,0.00337662
-13,-21,0.00423692
-13,-20,0.00524663
-13,-19,0.00641432
-13,-18,0.00774451
-13,-17,0.00923677
-13,-16,0.0108849
-13,-15,0.0126763
-13,-14,0.0145918
-13,-13,0.0166055
-13,-12,0.0186851
-13,-11,0.0207928
-13,-10,0.0228865
-13,-9,0.0249209
-13,-8,0.0268493
-13,-7,0.0286257
-13,-6,0.0302062
-13,-5,0.0315514
-13,-4,0.0326277
-13,-3,0.0334087
-13,-2,0.0338765
-13,-1,0.0340221
-13,0,0.0338458
-13,1,0.0333568
