i,j,value
-17,24,-0.0282336
-17,25,-0.0216501
-17,26,-0.0163418
-17,27,-0.0120276
-17,28,-0.0084567
-17,29,-0.00540164
-17,30,-0.00265076
-17,31,0
-16,-31,0
-16,-30,-0.000749146
-16,-29,-0.00164635
-16,-28,-0.00280807
-16,-27,-0.00437627
-16,-26,-0.00652781
-16,-25,-0.00948436
-16,-24,-0.0135227
-16,-23,-0.0189848
-16,-22,-0.0262874
-16,-21,-0.0359299
-16,-20,-0.0484994
-16,-19,-0.0646712
-16,-18,-0.0852043
-16,-17,-0.110927
-16,-16,-0.142715
-16,-15,-0.18145
-16,-14,-0.227975
-16,-13,-0.283016
-16,-12,-0.347099
-16,-11,-0.420438
-16,-10,-0.502813
-16,-9,-0.593434
-16,-8,-0.690812
-16,-7,-0.792652
-16,-6,-0.8958
-16,-5,-0.996283
-16,-4,-1.08948
-16,-3,-1.17044
-16,-2,-1.23438
-16,-1,-1.27721
-16,0,-1.29613
-16,1,-1.29005
-16,2,-1.25969
-16,3,-1.2075
-16,4,-1.13725
-16,5,-1.05346
-16,6,-0.960864
-16,7,-0.863942
-16,8,-0.766593
-16,9,-0.671964
-16,10,-0.582412
-16,11,-0.499541
-16,12,-0.424306
-16,13,-0.357125
-16,14,-0.298004
-16,15,-0.246648
-16,16,-0.202558
-16,17,-0.16511
-16,18,-0.133617
-16,19,-0.107373
-16,20,-0.0856892
-16,21,-0.0679133
-16,22,-0.0534449
-16,23,-0.0417409
-16,24,-0.0323174
-16,25,-0.0247477
-16,26,-0.0186572
-16,27,-0.0137168
-16,28,-0.00963486
-16,29,-0.00614864
-16,30,-0.00301483
-16,31,0
-15,-31,0
-15,-30,-0.000884457
-15,-29,-0.001941
-15,-28,-0.00330592
-15,-27,-0.0051451
-15,-26,-0.007665
-15,-25,-0.0111246
-15,-24,-0.0158474
-15,-23,-0.0222346
-15,-22,-0.0307762
-15,-21,-0.0420623
-15,-20,-0.0567902
-15,-19,-0.0757689
-15,-18,-0.0999155
-15,-17,-0.130244
-15,-16,-0.167842
-15,-15,-0.213833
-15,-14,-0.269318
-15,-13,-0.335299
-15,-12,-0.412572
-15,-11,-0.501595
-15,-10,-0.602324
-15,-9,-0.714033
-15,-8,-0.835111
-15,-7,-0.962884
-15,-6,-1.09348
-15,-5,-1.22182
-15,-4,-1.34178
-15,-3,-1.44659
-15,-2,-1.52953
-15,-1,-1.5848
-15,0,-1.60835
